Percentage served,Time in ms
0,0.239
1,0.244
2,0.246
3,0.248
4,0.251
5,0.253
6,0.255
7,0.256
8,0.256
9,0.257
10,0.257
11,0.258
12,0.258
13,0.258
14,0.258
15,0.259
16,0.259
17,0.259
18,0.259
19,0.259
20,0.259
21,0.260
22,0.260
23,0.260
24,0.260
25,0.260
26,0.260
27,0.260
28,0.260
29,0.261
30,0.261
31,0.261
32,0.261
33,0.261
34,0.261
35,0.261
36,0.261
37,0.261
38,0.262
39,0.262
40,0.262
41,0.262
42,0.262
43,0.262
44,0.262
45,0.262
46,0.262
47,0.262
48,0.263
49,0.263
50,0.263
51,0.263
52,0.263
53,0.263
54,0.263
55,0.263
56,0.264
57,0.264
58,0.264
59,0.264
60,0.264
61,0.264
62,0.264
63,0.265
64,0.265
65,0.265
66,0.265
67,0.265
68,0.266
69,0.266
70,0.266
71,0.266
72,0.267
73,0.267
74,0.267
75,0.267
76,0.268
77,0.268
78,0.268
79,0.269
80,0.269
81,0.269
82,0.270
83,0.270
84,0.271
85,0.271
86,0.272
87,0.273
88,0.275
89,0.276
90,0.277
91,0.279
92,0.280
93,0.283
94,0.286
95,0.290
96,0.293
97,0.298
98,0.309
99,0.339
100,2.373
