Percentage served,Time in ms
0,0.230
1,0.240
2,0.242
3,0.243
4,0.244
5,0.245
6,0.246
7,0.247
8,0.247
9,0.248
10,0.248
11,0.248
12,0.249
13,0.249
14,0.249
15,0.250
16,0.250
17,0.250
18,0.251
19,0.251
20,0.251
21,0.252
22,0.252
23,0.252
24,0.252
25,0.253
26,0.253
27,0.253
28,0.253
29,0.254
30,0.254
31,0.254
32,0.254
33,0.254
34,0.255
35,0.255
36,0.255
37,0.255
38,0.256
39,0.256
40,0.256
41,0.256
42,0.257
43,0.257
44,0.257
45,0.257
46,0.258
47,0.258
48,0.259
49,0.259
50,0.259
51,0.260
52,0.261
53,0.261
54,0.262
55,0.262
56,0.263
57,0.264
58,0.264
59,0.265
60,0.266
61,0.266
62,0.267
63,0.268
64,0.269
65,0.270
66,0.272
67,0.273
68,0.275
69,0.276
70,0.278
71,0.280
72,0.282
73,0.284
74,0.286
75,0.288
76,0.290
77,0.293
78,0.295
79,0.298
80,0.301
81,0.305
82,0.308
83,0.311
84,0.315
85,0.319
86,0.326
87,0.333
88,0.340
89,0.349
90,0.359
91,0.373
92,0.387
93,0.403
94,0.421
95,0.449
96,0.490
97,0.574
98,0.738
99,1.196
100,811.338
